File............: cv_1 - JUL,01.2025
System..........: 
Temperature.....: -0.1+-0.1C
Time............: 14:18:08-::
Slewrate........: 50mV/s
Comment.........: 
                   
                   
                   
                   
Electr.area/sqcm: 
Reference.......: -0.0800244,  0.3194589 PO/PF -2,-2004
Lines:   122
Columns: 3
Number     Time/s     Potential/V    Current/A 
1         0.000e+00     -0.680008   -9.4881e-06
2         1.200e-01     -0.680008   -9.2344e-06
3         3.600e-01     -0.680008   -8.4525e-06
4         6.000e-01     -0.680008   -7.9121e-06
5         8.400e-01     -0.680008   -7.3551e-06
6         1.080e+00     -0.680008   -6.9288e-06
7         1.320e+00     -0.680008   -6.4843e-06
8         1.560e+00     -0.680008   -6.2391e-06
9         1.800e+00     -0.677333   -4.8640e-07
10        2.040e+00     -0.665952    5.4950e-06
11        2.280e+00     -0.653932    6.9832e-06
12        2.520e+00     -0.641953    7.8778e-06
13        2.760e+00     -0.629933    8.7713e-06
14        3.000e+00     -0.617953    9.3856e-06
15        3.240e+00     -0.605934    1.0074e-05
16        3.480e+00     -0.593954    1.0704e-05
17        3.720e+00     -0.581934    1.1324e-05
18        3.960e+00     -0.569955    1.1947e-05
19        4.200e+00     -0.557935    1.2427e-05
20        4.440e+00     -0.545955    1.3242e-05
21        4.680e+00     -0.533936    1.3844e-05
22        4.920e+00     -0.521916    1.4740e-05
23        5.160e+00     -0.509896    1.5405e-05
24        5.400e+00     -0.497917    1.6242e-05
25        5.640e+00     -0.485897    1.6933e-05
26        5.880e+00     -0.473917    1.7737e-05
27        6.120e+00     -0.461898    1.8641e-05
28        6.360e+00     -0.449918    1.9339e-05
29        6.600e+00     -0.437898    2.0244e-05
30        6.840e+00     -0.425919    2.0679e-05
31        7.080e+00     -0.413899    2.1108e-05
32        7.320e+00     -0.401879    2.1186e-05
33        7.560e+00     -0.389900    2.1381e-05
34        7.800e+00     -0.377880    2.1559e-05
35        8.040e+00     -0.365860    2.1936e-05
36        8.280e+00     -0.353881    2.2344e-05
37        8.520e+00     -0.341861    2.2824e-05
38        8.760e+00     -0.329881    2.3411e-05
39        9.000e+00     -0.317862    2.3883e-05
40        9.240e+00     -0.305882    2.4648e-05
41        9.480e+00     -0.293862    2.5139e-05
42        9.720e+00     -0.281882    2.5767e-05
43        9.960e+00     -0.269863    2.6112e-05
44        1.020e+01     -0.257843    2.6622e-05
45        1.044e+01     -0.245864    2.6864e-05
46        1.068e+01     -0.233844    2.7169e-05
47        1.092e+01     -0.221824    2.7435e-05
48        1.116e+01     -0.209845    2.7552e-05
49        1.140e+01     -0.197825    2.7668e-05
50        1.164e+01     -0.185845    2.7645e-05
51        1.188e+01     -0.173826    2.7710e-05
52        1.212e+01     -0.161846    2.7433e-05
53        1.236e+01     -0.149826    2.7294e-05
54        1.260e+01     -0.137846    2.7020e-05
55        1.284e+01     -0.125827    2.6840e-05
56        1.308e+01     -0.113807    2.6506e-05
57        1.332e+01     -0.101827    2.6234e-05
58        1.356e+01     -0.089808    2.5931e-05
59        1.380e+01     -0.077788    2.5515e-05
60        1.404e+01     -0.065808    2.5451e-05
61        1.428e+01     -0.053789    2.5226e-05
62        1.452e+01     -0.041809    2.5313e-05
63        1.476e+01     -0.029789    2.5343e-05
64        1.500e+01     -0.017810    2.5664e-05
65        1.524e+01     -0.005790    2.5877e-05
66        1.548e+01      0.006190    2.6017e-05
67        1.572e+01      0.018209    2.6376e-05
68        1.596e+01      0.030229    2.6804e-05
69        1.620e+01      0.042209    2.7331e-05
70        1.644e+01      0.054228    2.7705e-05
71        1.668e+01      0.066248    2.8257e-05
72        1.692e+01      0.078228    2.8648e-05
73        1.716e+01      0.090247    2.9199e-05
74        1.740e+01      0.102227    2.9708e-05
75        1.764e+01      0.114247    3.0467e-05
76        1.788e+01      0.126226    3.1051e-05
77        1.812e+01      0.138246    3.1997e-05
78        1.836e+01      0.150226    3.2933e-05
79        1.860e+01      0.162245    3.3828e-05
80        1.884e+01      0.174265    3.4956e-05
81        1.908e+01      0.186285    3.6069e-05
82        1.932e+01      0.198264    3.7567e-05
83        1.956e+01      0.210284    3.8911e-05
84        1.980e+01      0.222264    4.0587e-05
85        2.004e+01      0.234283    4.2152e-05
86        2.028e+01      0.246263    4.3971e-05
87        2.052e+01      0.258283    4.5782e-05
88        2.076e+01      0.270262    4.7779e-05
89        2.100e+01      0.282282    4.9886e-05
90        2.124e+01      0.294262    5.2036e-05
91        2.148e+01      0.306281    5.4393e-05
92        2.172e+01      0.318301    5.6545e-05
93        2.196e+01      0.330321    5.8857e-05
94        2.220e+01      0.342300    6.1049e-05
95        2.244e+01      0.354320    6.3451e-05
96        2.268e+01      0.366300    6.5705e-05
97        2.292e+01      0.378319    6.8132e-05
98        2.316e+01      0.390299    7.0475e-05
99        2.340e+01      0.402319    7.2688e-05
100       2.364e+01      0.414298    7.4861e-05
101       2.388e+01      0.426318    7.6914e-05
102       2.412e+01      0.438338    7.9105e-05
103       2.436e+01      0.450317    8.1151e-05
104       2.460e+01      0.462337    8.3498e-05
105       2.484e+01      0.474357    8.5715e-05
106       2.508e+01      0.486336    8.8199e-05
107       2.532e+01      0.498356    9.0562e-05
108       2.556e+01      0.510336    9.3192e-05
109       2.580e+01      0.517004    8.2638e-05
110       2.604e+01      0.506302    5.6941e-05
111       2.628e+01      0.494283    4.4268e-05
112       2.652e+01      0.482263    3.6564e-05
113       2.676e+01      0.470283    3.1447e-05
114       2.700e+01      0.458264    2.7577e-05
115       2.724e+01      0.446284    2.4719e-05
116       2.748e+01      0.434264    2.2537e-05
117       2.772e+01      0.422285    2.0578e-05
118       2.796e+01      0.410265    1.8918e-05
119       2.820e+01      0.398246    1.7533e-05
120       2.844e+01      0.386226    1.6235e-05
121       2.868e+01      0.374246    1.5069e-05
122       2.892e+01      0.362227    1.3955e-05
