File............: cv_2 - JUL,01.2025
System..........: 
Temperature.....: -0.1+-0.0C
Time............: 14:58:39-15:06:43
Slewrate........: 50mV/s
Comment.........: 
                   
                   
                   
                   
Electr.area/sqcm: 
Reference.......: -0.0800244,  0.3194589 PO/PF -2,-2004
Lines:   2016
Columns: 3
Number     Time/s     Potential/V    Current/A 
1         0.000e+00     -0.680008   -8.5926e-06
2         1.200e-01     -0.680008   -8.1229e-06
3         3.600e-01     -0.680008   -7.9137e-06
4         6.000e-01     -0.680008   -7.7569e-06
5         8.400e-01     -0.680008   -7.4095e-06
6         1.080e+00     -0.680008   -7.1440e-06
7         1.320e+00     -0.680008   -7.0385e-06
8         1.560e+00     -0.680008   -6.8551e-06
9         1.800e+00     -0.677333   -1.1453e-06
10        2.040e+00     -0.665952    4.8034e-06
11        2.280e+00     -0.653932    5.9793e-06
12        2.520e+00     -0.641953    6.8597e-06
13        2.760e+00     -0.629933    7.6000e-06
14        3.000e+00     -0.617953    8.4148e-06
15        3.240e+00     -0.605934    9.0502e-06
16        3.480e+00     -0.593954    9.6773e-06
17        3.720e+00     -0.581934    1.0255e-05
18        3.960e+00     -0.569955    1.0826e-05
19        4.200e+00     -0.557935    1.1363e-05
20        4.440e+00     -0.545955    1.1989e-05
21        4.680e+00     -0.533936    1.2549e-05
22        4.920e+00     -0.521916    1.3163e-05
23        5.160e+00     -0.509896    1.3715e-05
24        5.400e+00     -0.497917    1.4329e-05
25        5.640e+00     -0.485897    1.4771e-05
26        5.880e+00     -0.473917    1.5382e-05
27        6.120e+00     -0.461898    1.5849e-05
28        6.360e+00     -0.449918    1.6347e-05
29        6.600e+00     -0.437898    1.6892e-05
30        6.840e+00     -0.425919    1.7421e-05
31        7.080e+00     -0.413899    1.7861e-05
32        7.320e+00     -0.401879    1.8186e-05
33        7.560e+00     -0.389900    1.8580e-05
34        7.800e+00     -0.377880    1.8901e-05
35        8.040e+00     -0.365860    1.9170e-05
36        8.280e+00     -0.353881    1.9476e-05
37        8.520e+00     -0.341861    1.9839e-05
38        8.760e+00     -0.329881    2.0160e-05
39        9.000e+00     -0.317862    2.0571e-05
40        9.240e+00     -0.305882    2.1041e-05
41        9.480e+00     -0.293862    2.1653e-05
42        9.720e+00     -0.281882    2.2098e-05
43        9.960e+00     -0.269863    2.2661e-05
44        1.020e+01     -0.257843    2.3142e-05
45        1.044e+01     -0.245864    2.3591e-05
46        1.068e+01     -0.233844    2.3952e-05
47        1.092e+01     -0.221824    2.4341e-05
48        1.116e+01     -0.209845    2.4590e-05
49        1.140e+01     -0.197825    2.4765e-05
50        1.164e+01     -0.185845    2.4958e-05
51        1.188e+01     -0.173826    2.5187e-05
52        1.212e+01     -0.161846    2.5291e-05
53        1.236e+01     -0.149826    2.5499e-05
54        1.260e+01     -0.137846    2.5631e-05
55        1.284e+01     -0.125827    2.5729e-05
56        1.308e+01     -0.113807    2.5932e-05
57        1.332e+01     -0.101827    2.6020e-05
58        1.356e+01     -0.089808    2.6120e-05
59        1.380e+01     -0.077788    2.5975e-05
60        1.404e+01     -0.065808    2.5972e-05
61        1.428e+01     -0.053789    2.5762e-05
62        1.452e+01     -0.041809    2.5603e-05
63        1.476e+01     -0.029789    2.5295e-05
64        1.500e+01     -0.017810    2.5139e-05
65        1.524e+01     -0.005790    2.4896e-05
66        1.548e+01      0.006190    2.4427e-05
67        1.572e+01      0.018209    2.4317e-05
68        1.596e+01      0.030229    2.4258e-05
69        1.620e+01      0.042209    2.4132e-05
70        1.644e+01      0.054228    2.4207e-05
71        1.668e+01      0.066248    2.4109e-05
72        1.692e+01      0.078228    2.4201e-05
73        1.716e+01      0.090247    2.4241e-05
74        1.740e+01      0.102227    2.4480e-05
75        1.764e+01      0.114247    2.4883e-05
76        1.788e+01      0.126226    2.5347e-05
77        1.812e+01      0.138246    2.5799e-05
78        1.836e+01      0.150226    2.6201e-05
79        1.860e+01      0.162245    2.6817e-05
80        1.884e+01      0.174265    2.7450e-05
81        1.908e+01      0.186285    2.8162e-05
82        1.932e+01      0.198264    2.8966e-05
83        1.956e+01      0.210284    2.9824e-05
84        1.980e+01      0.222264    3.0833e-05
85        2.004e+01      0.234283    3.1804e-05
86        2.028e+01      0.246263    3.2895e-05
87        2.052e+01      0.258283    3.3850e-05
88        2.076e+01      0.270262    3.4762e-05
89        2.100e+01      0.282282    3.6127e-05
90        2.124e+01      0.294262    3.7311e-05
91        2.148e+01      0.306281    3.8641e-05
92        2.172e+01      0.318301    3.9909e-05
93        2.196e+01      0.330321    4.1654e-05
94        2.220e+01      0.342300    4.3755e-05
95        2.244e+01      0.354320    4.5859e-05
96        2.268e+01      0.366300    4.7513e-05
