Time (s),Current (A)
0,0.0004790956
1.29,0.0004020161
2.43,0.0003873337
3.57,0.000375719
4.73,0.0003664236
5.89,0.000357733
7.04,0.0003519641
8.2,0.0003456678
9.35,0.000340195
10.5,0.0003349378
11.66,0.0003292058
12.8,0.0003248077
13.93,0.0003205116
15.08,0.0003166569
16.24,0.0003133935
17.4,0.0003098192
18.58,0.0003067174
19.73,0.0003039635
20.87,0.0003014605
22.02,0.000299191
23.17,0.000297069
24.32,0.000295142
25.48,0.0002937592
26.62,0.0002924545
27.78,0.000291303
28.93,0.0002906079
30.11,0.0002902624
31.24,0.0002900147
32.38,0.0002901134
33.53,0.0002902312
34.67,0.0002904418
35.81,0.0002907071
36.95,0.0002912796
38.1,0.0002915341
39.24,0.0002918624
40.38,0.0002920329
41.54,0.000292332
42.68,0.0002924381
43.82,0.0002925024
44.96,0.0002926714
46.11,0.0002926807
47.25,0.00029268
48.39,0.0002936419
49.55,0.0002938946
50.69,0.0002941679
51.83,0.0002940925
52.98,0.0002941055
54.11,0.0002940333
55.25,0.0002939592
56.4,0.0002936231
57.56,0.0002935308
58.7,0.0002932471
59.86,0.0002927936
61.0,0.0002923415
62.14,0.0002919358
63.28,0.0002914437
64.43,0.0002909136
65.57,0.0002904445
66.7,0.0002901059
67.85,0.0002897399
68.99,0.0002894739
70.14,0.0002893219
71.28,0.0002890261
72.43,0.0002891422
73.58,0.0002894222
74.72,0.0002896896
75.86,0.0002901441
77.01,0.0002907266
78.15,0.0002913856
79.3,0.0002918615
80.44,0.0002924217
81.59,0.0002929723
82.72,0.0002934593
83.87,0.0002938641
85.02,0.0002941961
86.16,0.0002945205
87.3,0.0002947066
88.44,0.000294816
89.58,0.00029496
90.73,0.00029504
91.86,0.0002950984
93.0,0.000295
94.14,0.0002948935
95.27,0.0002948755
96.42,0.0002930831
97.56,0.0002940329
98.72,0.0002981307
99.86,0.0002956556
101.02,0.0002955073
102.17,0.0002945525
103.3,0.0002943929
104.44,0.0002938228
105.63,0.0002936376
106.82,0.0002937825
107.98,0.0002935301
109.17,0.0002935917
110.31,0.0002935562
