File............: cv_10_4cyclesA_c - JUL,08.2025
System..........: 
Temperature.....: -0.1+-0.0C
Time............: 14:22:50-13:55:54
Slewrate........: 50mV/s
Comment.........: 
                   
                   
                   
                   
Electr.area/sqcm: 
Reference.......: -0.0800244,  0.3194589 PO/PF -2,-2004
Lines:   112
Columns: 3
Number     Time/s     Potential/V    Current/A 
1         0.000e+00     -0.680008    2.0870e-07
2         1.200e-01     -0.680008    2.4300e-07
3         3.600e-01     -0.680008    2.3920e-07
4         6.000e-01     -0.680008    2.0508e-07
5         8.400e-01     -0.680008    1.3772e-07
6         1.080e+00     -0.680008    1.7896e-07
7         1.320e+00     -0.680008    2.2793e-07
8         1.560e+00     -0.680008    2.0981e-07
9         1.800e+00     -0.677293    2.0072e-07
10        2.040e+00     -0.665952    1.9556e-07
11        2.280e+00     -0.653932    1.8199e-07
12        2.520e+00     -0.641953    9.0874e-08
13        2.760e+00     -0.629933    1.6563e-07
14        3.000e+00     -0.617953    1.7208e-07
15        3.240e+00     -0.605934    1.3514e-07
16        3.480e+00     -0.593954    1.6597e-07
17        3.720e+00     -0.581934    1.3556e-07
18        3.960e+00     -0.569955    2.0132e-07
19        4.200e+00     -0.557935    2.2039e-07
20        4.440e+00     -0.545955    2.4619e-07
21        4.680e+00     -0.533936    2.6097e-07
22        4.920e+00     -0.521916    1.8557e-07
23        5.160e+00     -0.509896    2.0835e-07
24        5.400e+00     -0.497917    2.2330e-07
25        5.640e+00     -0.485897    1.0494e-07
26        5.880e+00     -0.473917    1.7527e-07
27        6.120e+00     -0.461898    1.6870e-07
28        6.360e+00     -0.449918    1.7078e-07
29        6.600e+00     -0.437898    1.7990e-07
30        6.840e+00     -0.425919    2.1358e-07
31        7.080e+00     -0.413899    2.3801e-07
32        7.320e+00     -0.401919    1.7357e-07
33        7.560e+00     -0.389900    1.8714e-07
34        7.800e+00     -0.377880    2.5181e-07
35        8.040e+00     -0.365860    1.8152e-07
36        8.280e+00     -0.353881    2.2700e-07
37        8.520e+00     -0.341861    2.2533e-07
38        8.760e+00     -0.329881    2.5241e-07
39        9.000e+00     -0.317862    1.6938e-07
40        9.240e+00     -0.305882    1.2421e-07
41        9.480e+00     -0.293862    1.5894e-07
42        9.720e+00     -0.281882    1.8575e-07
43        9.960e+00     -0.269863    1.6759e-07
44        1.020e+01     -0.257843    2.0784e-07
45        1.044e+01     -0.245864    1.9304e-07
46        1.068e+01     -0.233844    2.1256e-07
47        1.092e+01     -0.221824    2.4681e-07
48        1.116e+01     -0.209845    2.2269e-07
49        1.140e+01     -0.197825    1.8011e-07
50        1.164e+01     -0.185845    1.8339e-07
51        1.188e+01     -0.173826    2.2597e-07
52        1.212e+01     -0.161846    2.1007e-07
53        1.236e+01     -0.149826    1.6299e-07
54        1.260e+01     -0.137846    2.4310e-07
55        1.284e+01     -0.125827    2.1359e-07
56        1.308e+01     -0.113807    2.0290e-07
57        1.332e+01     -0.101827    2.2272e-07
58        1.356e+01     -0.089808    2.0041e-07
59        1.380e+01     -0.077788    1.8175e-07
60        1.404e+01     -0.065808    2.1368e-07
61        1.428e+01     -0.053789    2.4044e-07
62        1.452e+01     -0.041809    2.5907e-07
63        1.476e+01     -0.029789    2.9251e-07
64        1.500e+01     -0.017810    2.6304e-07
65        1.524e+01     -0.005790    2.8271e-07
66        1.548e+01      0.006190    1.4034e-07
67        1.572e+01      0.018209    2.0152e-07
68        1.596e+01      0.030229    1.5088e-07
69        1.620e+01      0.042209    1.5908e-07
70        1.644e+01      0.054228    1.2117e-07
71        1.668e+01      0.066248    1.9500e-07
72        1.692e+01      0.078228    2.0758e-07
73        1.716e+01      0.090247    1.7742e-07
74        1.740e+01      0.102227    1.9584e-07
75        1.764e+01      0.114247    1.8629e-07
76        1.788e+01      0.126226    1.9211e-07
77        1.812e+01      0.138246    2.2720e-07
78        1.836e+01      0.150226    2.3095e-07
79        1.860e+01      0.162245    1.9902e-07
80        1.884e+01      0.174265    1.7589e-07
81        1.908e+01      0.186285    1.7038e-07
82        1.932e+01      0.198264    2.0694e-07
83        1.956e+01      0.210284    1.4067e-07
84        1.980e+01      0.222264    2.0576e-07
85        2.004e+01      0.234283    1.9060e-07
86        2.028e+01      0.246263    1.5463e-07
87        2.052e+01      0.258283    1.9530e-07
88        2.076e+01      0.270262    1.8146e-07
89        2.100e+01      0.282282    1.9847e-07
90        2.124e+01      0.294262    1.9555e-07
91        2.148e+01      0.306281    2.9446e-07
92        2.172e+01      0.318301    2.8461e-07
93        2.196e+01      0.330321    1.7830e-07
94        2.220e+01      0.342300    2.0730e-07
95        2.244e+01      0.354320    1.9421e-07
96        2.268e+01      0.366300    2.5428e-07
97        2.292e+01      0.378319    2.0504e-07
98        2.316e+01      0.390299    2.0493e-07
99        2.340e+01      0.402319    2.3646e-07
100       2.364e+01      0.414298    2.3484e-07
101       2.388e+01      0.426318    2.6663e-07
102       2.412e+01      0.438338    2.5225e-07
103       2.436e+01      0.450317    2.5162e-07
104       2.460e+01      0.462337    2.0687e-07
105       2.484e+01      0.474357    2.0642e-07
106       2.508e+01      0.486336    2.3526e-07
107       2.532e+01      0.498356    1.8407e-07
108       2.556e+01      0.510336    2.0092e-07
109       2.580e+01      0.517004    2.2787e-07
110       2.604e+01      0.506302    1.9703e-07
111       2.628e+01      0.494283    2.3850e-07
112       2.652e+01      0.482263    3.0491e-07
