File............: cv_5_4cycles - JUL,08.2025
System..........: 
Temperature.....: -0.1+-0.1C
Time............: 14:12:35-13:55:54
Slewrate........: 50mV/s
Comment.........: 
                   
                   
                   
                   
Electr.area/sqcm: 
Reference.......: -0.0800244,  0.3194589 PO/PF -2,-2004
Lines:   150
Columns: 3
Number     Time/s     Potential/V    Current/A 
1         0.000e+00     -0.680008    2.5301e-07
2         1.200e-01     -0.680008    2.5736e-07
3         3.600e-01     -0.680008    2.5508e-07
4         6.000e-01     -0.680008    2.8459e-07
5         8.400e-01     -0.680008    2.1199e-07
6         1.080e+00     -0.680008    3.1188e-07
7         1.320e+00     -0.680008    2.5839e-07
8         1.560e+00     -0.680008    2.9895e-07
9         1.800e+00     -0.677333    3.4393e-07
10        2.040e+00     -0.665952    3.7046e-07
11        2.280e+00     -0.653932    2.7125e-07
12        2.520e+00     -0.641953    2.4672e-07
13        2.760e+00     -0.629933    2.6379e-07
14        3.000e+00     -0.617953    3.0646e-07
15        3.240e+00     -0.605934    3.0624e-07
16        3.480e+00     -0.593954    3.5611e-07
17        3.720e+00     -0.581934    3.4966e-07
18        3.960e+00     -0.569955    3.4491e-07
19        4.200e+00     -0.557935    3.2581e-07
20        4.440e+00     -0.545955    2.9260e-07
21        4.680e+00     -0.533936    3.7573e-07
22        4.920e+00     -0.521916    3.9106e-07
23        5.160e+00     -0.509896    3.4467e-07
24        5.400e+00     -0.497917    3.3049e-07
25        5.640e+00     -0.485897    2.9820e-07
26        5.880e+00     -0.473917    3.2394e-07
27        6.120e+00     -0.461898    3.7081e-07
28        6.360e+00     -0.449918    3.2076e-07
29        6.600e+00     -0.437898    3.2896e-07
30        6.840e+00     -0.425919    3.8211e-07
31        7.080e+00     -0.413899    3.7275e-07
32        7.320e+00     -0.401879    3.4048e-07
33        7.560e+00     -0.389900    3.5702e-07
34        7.800e+00     -0.377880    4.1789e-07
35        8.040e+00     -0.365860    3.5092e-07
36        8.280e+00     -0.353881    3.2247e-07
37        8.520e+00     -0.341861    3.3809e-07
38        8.760e+00     -0.329881    3.5490e-07
39        9.000e+00     -0.317862    3.9683e-07
40        9.240e+00     -0.305882    3.7886e-07
41        9.480e+00     -0.293862    3.6180e-07
