File............: cv_8_4cyclesB - JUL,08.2025
System..........: 
Temperature.....: -0.1+-0.0C
Time............: 14:18:42-13:55:54
Slewrate........: 50mV/s
Comment.........: 
                   
                   
                   
                   
Electr.area/sqcm: 
Reference.......: -0.0800244,  0.3194589 PO/PF -2,-2004
Lines:   283
Columns: 3
Number     Time/s     Potential/V    Current/A 
1         0.000e+00     -0.680008    2.1835e-07
2         1.200e-01     -0.680008    2.1646e-07
3         3.600e-01     -0.680008    2.2623e-07
4         6.000e-01     -0.680008    2.0205e-07
5         8.400e-01     -0.680008    3.0242e-07
6         1.080e+00     -0.680008    2.1169e-07
7         1.320e+00     -0.680008    2.2119e-07
8         1.560e+00     -0.680008    2.7392e-07
9         1.800e+00     -0.677333    3.0289e-07
10        2.040e+00     -0.665952    3.3343e-07
11        2.280e+00     -0.653972    3.2118e-07
12        2.520e+00     -0.641953    3.1605e-07
13        2.760e+00     -0.629933    3.1711e-07
14        3.000e+00     -0.617953    3.2062e-07
15        3.240e+00     -0.605934    2.9975e-07
16        3.480e+00     -0.593954    3.2892e-07
17        3.720e+00     -0.581934    3.4288e-07
18        3.960e+00     -0.569955    3.4076e-07
19        4.200e+00     -0.557935    3.3189e-07
20        4.440e+00     -0.545955    2.8934e-07
21        4.680e+00     -0.533936    3.2049e-07
22        4.920e+00     -0.521916    2.8079e-07
23        5.160e+00     -0.509896    2.7821e-07
24        5.400e+00     -0.497917    3.4947e-07
25        5.640e+00     -0.485897    3.4242e-07
26        5.880e+00     -0.473917    3.3047e-07
27        6.120e+00     -0.461898    3.1384e-07
28        6.360e+00     -0.449918    3.5119e-07
29        6.600e+00     -0.437898    2.8916e-07
30        6.840e+00     -0.425919    3.0317e-07
31        7.080e+00     -0.413899    3.1248e-07
32        7.320e+00     -0.401879    3.0508e-07
33        7.560e+00     -0.389900    2.8731e-07
34        7.800e+00     -0.377880    2.8646e-07
35        8.040e+00     -0.365860    3.4128e-07
36        8.280e+00     -0.353881    3.5151e-07
37        8.520e+00     -0.341861    3.5574e-07
38        8.760e+00     -0.329881    3.3659e-07
39        9.000e+00     -0.317862    3.3601e-07
40        9.240e+00     -0.305882    3.6524e-07
41        9.480e+00     -0.293862    3.2579e-07
42        9.720e+00     -0.281882    3.4836e-07
43        9.960e+00     -0.269863    3.1087e-07
44        1.020e+01     -0.257843    3.3124e-07
45        1.044e+01     -0.245864    3.1635e-07
46        1.068e+01     -0.233844    3.3997e-07
47        1.092e+01     -0.221824    3.3712e-07
48        1.116e+01     -0.209845    3.3246e-07
49        1.140e+01     -0.197825    2.8706e-07
50        1.164e+01     -0.185845    2.9208e-07
51        1.188e+01     -0.173826    3.0837e-07
52        1.212e+01     -0.161846    3.6800e-07
53        1.236e+01     -0.149826    3.5640e-07
54        1.260e+01     -0.137846    3.5877e-07
55        1.284e+01     -0.125827    3.2282e-07
56        1.308e+01     -0.113807    3.9269e-07
57        1.332e+01     -0.101827    4.1780e-07
58        1.356e+01     -0.089808    3.5735e-07
59        1.380e+01     -0.077788    3.4610e-07
60        1.404e+01     -0.065808    3.0079e-07
61        1.428e+01     -0.053789    3.7549e-07
62        1.452e+01     -0.041809    4.0635e-07
63        1.476e+01     -0.029789    4.1548e-07
64        1.500e+01     -0.017810    3.6814e-07
65        1.524e+01     -0.005790    3.2933e-07
66        1.548e+01      0.006190    3.1503e-07
67        1.572e+01      0.018209    3.2465e-07
68        1.596e+01      0.030229    3.9853e-07
69        1.620e+01      0.042209    3.7005e-07
70        1.644e+01      0.054228    3.6610e-07
71        1.668e+01      0.066248    3.7361e-07
72        1.692e+01      0.078228    3.9963e-07
73        1.716e+01      0.090247    3.8509e-07
74        1.740e+01      0.102227    3.7284e-07
75        1.764e+01      0.114247    4.0910e-07
76        1.788e+01      0.126226    4.3780e-07
77        1.812e+01      0.138246    4.1091e-07
78        1.836e+01      0.150226    4.7444e-07
79        1.860e+01      0.162245    4.4946e-07
80        1.884e+01      0.174265    4.2723e-07
81        1.908e+01      0.186285    3.9666e-07
82        1.932e+01      0.198264    4.0333e-07
83        1.956e+01      0.210284    4.3068e-07
