File............: cv_9_4cycles_c - JUL,08.2025
System..........: 
Temperature.....: -0.1+-0.0C
Time............: 14:21:25-13:55:54
Slewrate........: 50mV/s
Comment.........: 
                   
                   
                   
                   
Electr.area/sqcm: 
Reference.......: -0.0800244,  0.3194589 PO/PF -2,-2004
Lines:   174
Columns: 3
Number     Time/s     Potential/V    Current/A 
1         0.000e+00     -0.680008    1.5265e-07
2         1.200e-01     -0.680008    1.2519e-07
3         3.600e-01     -0.680008    1.4508e-07
4         6.000e-01     -0.680008    1.5338e-07
5         8.400e-01     -0.680008    1.0541e-07
6         1.080e+00     -0.680008    1.6401e-07
7         1.320e+00     -0.680008    1.8227e-07
8         1.560e+00     -0.680008    1.8022e-07
9         1.800e+00     -0.677333    1.4067e-07
10        2.040e+00     -0.665952    1.5764e-07
11        2.280e+00     -0.653932    1.0480e-07
12        2.520e+00     -0.641953    8.8629e-08
13        2.760e+00     -0.629933    1.2434e-07
14        3.000e+00     -0.617953    1.3827e-07
15        3.240e+00     -0.605934    1.1506e-07
16        3.480e+00     -0.593954    9.9700e-08
17        3.720e+00     -0.581934    1.6078e-07
18        3.960e+00     -0.569955    1.0814e-07
19        4.200e+00     -0.557935    1.4042e-07
20        4.440e+00     -0.545915    1.3360e-07
21        4.680e+00     -0.533936    1.1877e-07
22        4.920e+00     -0.521916    1.6458e-07
23        5.160e+00     -0.509896    2.0821e-07
24        5.400e+00     -0.497917    1.6750e-07
25        5.640e+00     -0.485897    1.2042e-07
26        5.880e+00     -0.473917    1.2420e-07
27        6.120e+00     -0.461898    1.4705e-07
28        6.360e+00     -0.449918    1.7290e-07
29        6.600e+00     -0.437898    2.0141e-07
30        6.840e+00     -0.425919    2.0027e-07
31        7.080e+00     -0.413899    2.4783e-07
32        7.320e+00     -0.401879    1.5020e-07
33        7.560e+00     -0.389900    1.9492e-07
34        7.800e+00     -0.377880    2.2240e-07
35        8.040e+00     -0.365860    1.9592e-07
36        8.280e+00     -0.353881    1.7035e-07
37        8.520e+00     -0.341861    1.6280e-07
38        8.760e+00     -0.329881    1.9181e-07
39        9.000e+00     -0.317862    1.6315e-07
40        9.240e+00     -0.305882    1.8225e-07
41        9.480e+00     -0.293862    1.9618e-07
42        9.720e+00     -0.281882    1.8393e-07
43        9.960e+00     -0.269863    1.8994e-07
44        1.020e+01     -0.257843    2.2814e-07
45        1.044e+01     -0.245864    2.1831e-07
46        1.068e+01     -0.233844    2.1732e-07
47        1.092e+01     -0.221824    2.2516e-07
48        1.116e+01     -0.209845    2.6251e-07
49        1.140e+01     -0.197825    2.2737e-07
50        1.164e+01     -0.185845    2.5923e-07
51        1.188e+01     -0.173826    2.9934e-07
52        1.212e+01     -0.161846    2.5100e-07
53        1.236e+01     -0.149826    1.5183e-07
54        1.260e+01     -0.137846    1.7290e-07
55        1.284e+01     -0.125827    2.6086e-07
56        1.308e+01     -0.113807    2.3943e-07
57        1.332e+01     -0.101827    2.4644e-07
58        1.356e+01     -0.089808    2.6552e-07
59        1.380e+01     -0.077788    2.6354e-07
60        1.404e+01     -0.065808    2.1698e-07
61        1.428e+01     -0.053789    2.5222e-07
62        1.452e+01     -0.041809    2.5176e-07
63        1.476e+01     -0.029789    2.7532e-07
64        1.500e+01     -0.017810    3.1310e-07
65        1.524e+01     -0.005790    3.0058e-07
66        1.548e+01      0.006190    1.7042e-07
67        1.572e+01      0.018209    1.6607e-07
68        1.596e+01      0.030229    1.6056e-07
69        1.620e+01      0.042248    1.6038e-07
70        1.644e+01      0.054228    1.5629e-07
71        1.668e+01      0.066248    1.5858e-07
72        1.692e+01      0.078228    1.5418e-07
73        1.716e+01      0.090247    1.0536e-07
74        1.740e+01      0.102227    1.1424e-07
