File............: cv_1_4cycles_ - JUL,09.2025
System..........: 
Temperature.....: -0.1+-0.0C
Time............: 10:56:40-10:59:56
Slewrate........: 50mV/s
Comment.........: 
                   
                   
                   
                   
Electr.area/sqcm: 
Reference.......: -0.0800244,  0.3194589 PO/PF -2,-2004
Lines:   816
Columns: 3
Number     Time/s     Potential/V    Current/A 
1         0.000e+00     -0.680008   -1.9595e-05
2         1.200e-01     -0.680008   -1.9142e-05
3         3.600e-01     -0.680008   -1.8639e-05
4         6.000e-01     -0.680008   -1.8151e-05
5         8.400e-01     -0.680008   -1.7727e-05
6         1.080e+00     -0.680008   -1.7295e-05
7         1.320e+00     -0.680008   -1.6934e-05
8         1.560e+00     -0.680008   -1.6505e-05
9         1.800e+00     -0.677333   -1.5455e-05
10        2.040e+00     -0.665952   -1.3969e-05
11        2.280e+00     -0.653932   -1.3037e-05
12        2.520e+00     -0.641953   -1.2230e-05
13        2.760e+00     -0.629933   -1.1380e-05
14        3.000e+00     -0.617953   -1.0702e-05
15        3.240e+00     -0.605934   -9.9887e-06
16        3.480e+00     -0.593954   -9.3008e-06
17        3.720e+00     -0.581934   -8.7121e-06
18        3.960e+00     -0.569955   -8.0928e-06
19        4.200e+00     -0.557935   -7.4121e-06
20        4.440e+00     -0.545955   -6.8910e-06
21        4.680e+00     -0.533936   -6.3057e-06
22        4.920e+00     -0.521916   -5.6808e-06
23        5.160e+00     -0.509896   -5.1202e-06
24        5.400e+00     -0.497917   -4.5565e-06
25        5.640e+00     -0.485897   -4.0814e-06
26        5.880e+00     -0.473917   -3.5860e-06
27        6.120e+00     -0.461898   -3.0864e-06
28        6.360e+00     -0.449918   -2.6134e-06
29        6.600e+00     -0.437898   -2.1030e-06
30        6.840e+00     -0.425919   -1.6739e-06
31        7.080e+00     -0.413899   -1.2860e-06
32        7.320e+00     -0.401879   -8.7079e-07
33        7.560e+00     -0.389900   -4.6056e-07
34        7.800e+00     -0.377880   -1.3886e-07
35        8.040e+00     -0.365860    2.5871e-07
36        8.280e+00     -0.353881    5.2100e-07
37        8.520e+00     -0.341861    9.0749e-07
38        8.760e+00     -0.329881    1.2288e-06
39        9.000e+00     -0.317862    1.4698e-06
40        9.240e+00     -0.305882    1.7491e-06
41        9.480e+00     -0.293862    2.0461e-06
42        9.720e+00     -0.281882    2.2763e-06
43        9.960e+00     -0.269863    2.5355e-06
44        1.020e+01     -0.257843    2.7244e-06
45        1.044e+01     -0.245864    3.0168e-06
46        1.068e+01     -0.233844    3.1536e-06
47        1.092e+01     -0.221824    3.3939e-06
48        1.116e+01     -0.209845    3.5719e-06
49        1.140e+01     -0.197825    3.8415e-06
50        1.164e+01     -0.185845    4.0744e-06
51        1.188e+01     -0.173826    4.3053e-06
52        1.212e+01     -0.161846    4.5236e-06
53        1.236e+01     -0.149826    4.8913e-06
54        1.260e+01     -0.137846    5.3306e-06
55        1.284e+01     -0.125827    5.8385e-06
56        1.308e+01     -0.113807    6.3666e-06
57        1.332e+01     -0.101827    7.2301e-06
