File............: cv_3_25cycles - JUL,09.2025
System..........: 
Temperature.....: -0.1+-0.0C
Time............: 11:31:22-11:34:38
Slewrate........: 50mV/s
Comment.........: 
                   
                   
                   
                   
Electr.area/sqcm: 
Reference.......: -0.0800244,  0.3194589 PO/PF -2,-2004
Lines:   816
Columns: 3
Number     Time/s     Potential/V    Current/A 
1         0.000e+00     -0.680008   -1.9821e-05
2         1.200e-01     -0.680008   -1.9268e-05
3         3.600e-01     -0.680008   -1.8830e-05
4         6.000e-01     -0.680008   -1.8348e-05
5         8.400e-01     -0.680008   -1.7941e-05
6         1.080e+00     -0.680008   -1.7521e-05
7         1.320e+00     -0.680008   -1.7183e-05
8         1.560e+00     -0.680008   -1.6837e-05
9         1.800e+00     -0.677333   -1.5713e-05
10        2.040e+00     -0.665952   -1.4200e-05
11        2.280e+00     -0.653932   -1.3343e-05
12        2.520e+00     -0.641953   -1.2567e-05
13        2.760e+00     -0.629933   -1.1758e-05
14        3.000e+00     -0.617953   -1.0987e-05
15        3.240e+00     -0.605934   -1.0277e-05
16        3.480e+00     -0.593954   -9.6449e-06
17        3.720e+00     -0.581934   -9.0116e-06
18        3.960e+00     -0.569955   -8.4141e-06
19        4.200e+00     -0.557935   -7.8516e-06
20        4.440e+00     -0.545955   -7.2364e-06
21        4.680e+00     -0.533936   -6.5961e-06
22        4.920e+00     -0.521916   -6.0782e-06
23        5.160e+00     -0.509896   -5.5324e-06
24        5.400e+00     -0.497917   -5.0550e-06
25        5.640e+00     -0.485897   -4.5684e-06
26        5.880e+00     -0.473917   -4.0680e-06
27        6.120e+00     -0.461898   -3.5895e-06
28        6.360e+00     -0.449918   -3.1934e-06
29        6.600e+00     -0.437898   -2.7847e-06
30        6.840e+00     -0.425919   -2.3242e-06
31        7.080e+00     -0.413899   -1.9380e-06
32        7.320e+00     -0.401879   -1.6424e-06
33        7.560e+00     -0.389900   -1.2439e-06
34        7.800e+00     -0.377880   -8.8118e-07
35        8.040e+00     -0.365860   -5.2661e-07
36        8.280e+00     -0.353881   -2.8379e-07
37        8.520e+00     -0.341861    4.4337e-08
38        8.760e+00     -0.329881    2.6755e-07
39        9.000e+00     -0.317862    4.3008e-07
40        9.240e+00     -0.305882    7.2877e-07
41        9.480e+00     -0.293862    1.0029e-06
42        9.720e+00     -0.281882    1.2154e-06
43        9.960e+00     -0.269863    1.4683e-06
44        1.020e+01     -0.257843    1.6754e-06
45        1.044e+01     -0.245864    1.8829e-06
46        1.068e+01     -0.233844    2.0670e-06
47        1.092e+01     -0.221824    2.2737e-06
48        1.116e+01     -0.209845    2.5033e-06
49        1.140e+01     -0.197825    2.6948e-06
50        1.164e+01     -0.185845    2.8889e-06
51        1.188e+01     -0.173826    3.1146e-06
52        1.212e+01     -0.161846    3.3656e-06
53        1.236e+01     -0.149826    3.6675e-06
54        1.260e+01     -0.137846    4.0887e-06
55        1.284e+01     -0.125827    4.6367e-06
56        1.308e+01     -0.113807    5.3067e-06
57        1.332e+01     -0.101827    6.2312e-06
58        1.356e+01     -0.089808    7.4181e-06
59        1.380e+01     -0.077788    8.9223e-06
60        1.404e+01     -0.065808    1.0888e-05
61        1.428e+01     -0.053789    1.3274e-05
62        1.452e+01     -0.041809    1.6080e-05
63        1.476e+01     -0.029789    1.9214e-05
64        1.500e+01     -0.017810    2.2361e-05
65        1.524e+01     -0.005790    2.5439e-05
66        1.548e+01      0.006230    2.7914e-05
67        1.572e+01      0.018209    2.9976e-05
68        1.596e+01      0.030229    3.1473e-05
69        1.620e+01      0.042248    3.2575e-05
70        1.644e+01      0.054228    3.3513e-05
71        1.668e+01      0.066248    3.4558e-05
72        1.692e+01      0.078228    3.5976e-05
73        1.716e+01      0.090247    3.7784e-05
74        1.740e+01      0.102227    4.0104e-05
75        1.764e+01      0.114247    4.2774e-05
76        1.788e+01      0.126226    4.5776e-05
77        1.812e+01      0.138246    4.9357e-05
78        1.836e+01      0.150226    5.3228e-05
79        1.860e+01      0.162245    5.7669e-05
80        1.884e+01      0.174265    6.2598e-05
81        1.908e+01      0.186285    6.8157e-05
82        1.932e+01      0.198264    7.4308e-05
83        1.956e+01      0.210284    8.1186e-05
84        1.980e+01      0.222264    8.8903e-05
85        2.004e+01      0.234283    9.7578e-05
86        2.028e+01      0.246263    1.0730e-04
87        2.052e+01      0.258283    1.1835e-04
88        2.076e+01      0.270262    1.3067e-04
89        2.100e+01      0.282282    1.4468e-04
90        2.124e+01      0.294302    1.6027e-04
91        2.148e+01      0.306281    1.7775e-04
92        2.172e+01      0.318301    1.9700e-04
93        2.196e+01      0.330321    2.1807e-04
94        2.220e+01      0.342300    2.4107e-04
95        2.244e+01      0.354320    2.6606e-04
96        2.268e+01      0.366300    2.9297e-04
97        2.292e+01      0.378319    3.2208e-04
98        2.316e+01      0.390299    3.5317e-04
99        2.340e+01      0.402319    3.8647e-04
100       2.364e+01      0.414298    4.2171e-04
101       2.388e+01      0.426318    4.5912e-04
102       2.412e+01      0.438338    4.9835e-04
103       2.436e+01      0.450317    5.3942e-04
104       2.460e+01      0.462337    5.8185e-04
105       2.484e+01      0.474357    6.2563e-04
106       2.508e+01      0.486336    6.7019e-04
107       2.532e+01      0.498356    7.1528e-04
108       2.556e+01      0.510336    7.6028e-04
109       2.580e+01      0.517004    7.7291e-04
110       2.604e+01      0.506302    6.9040e-04
111       2.628e+01      0.494283    6.1635e-04
112       2.652e+01      0.482263    5.5332e-04
113       2.676e+01      0.470283    4.9822e-04
114       2.700e+01      0.458264    4.4964e-04
115       2.724e+01      0.446244    4.0633e-04
116       2.748e+01      0.434264    3.6762e-04
117       2.772e+01      0.422245    3.3271e-04
118       2.796e+01      0.410265    3.0133e-04
119       2.820e+01      0.398246    2.7304e-04
120       2.844e+01      0.386266    2.4745e-04
121       2.868e+01      0.374246    2.2416e-04
122       2.892e+01      0.362266    2.0315e-04
123       2.916e+01      0.350247    1.8399e-04
124       2.940e+01      0.338227    1.6658e-04
125       2.964e+01      0.326247    1.5069e-04
126       2.988e+01      0.314228    1.3639e-04
127       3.012e+01      0.302208    1.2328e-04
128       3.036e+01      0.290228    1.1153e-04
129       3.060e+01      0.278209    1.0107e-04
130       3.084e+01      0.266229    9.1683e-05
131       3.108e+01      0.254209    8.3343e-05
132       3.132e+01      0.242230    7.5934e-05
133       3.156e+01      0.230210    6.9289e-05
134       3.180e+01      0.218230    6.3347e-05
135       3.204e+01      0.206211    5.7934e-05
136       3.228e+01      0.194191    5.3058e-05
137       3.252e+01      0.182171    4.8551e-05
138       3.276e+01      0.170192    4.4419e-05
139       3.300e+01      0.158172    4.0685e-05
140       3.324e+01      0.146192    3.7154e-05
141       3.348e+01      0.134173    3.3836e-05
142       3.372e+01      0.122193    3.0743e-05
143       3.396e+01      0.110173    2.7860e-05
144       3.420e+01      0.098194    2.5055e-05
145       3.444e+01      0.086174    2.2192e-05
146       3.468e+01      0.074194    1.9318e-05
147       3.492e+01      0.062175    1.6241e-05
148       3.516e+01      0.050155    1.2954e-05
149       3.540e+01      0.038135    9.3543e-06
150       3.564e+01      0.026156    5.6062e-06
151       3.588e+01      0.014136    1.5805e-06
152       3.612e+01      0.002156   -2.4912e-06
